x,y,,,,,,,,,,,,,,,,,,
184.55,91.33,,,,,,,,,,,,,,,,,,
204.37,91.12,,,,,,,,,,,,,,,,,,
224.58,98.66,,,,,,,,,,,,,,,,,,
237.46,102.99,,,,,,,,,,,,,,,,,,
237.46,101.77,,,,,,,,,,,,,,,,,,
237.46,99.85,,,,,,,,,,,,,,,,,,
236.98,94.15,,,,,,,,,,,,,,,,,,
235.63,86.36,,,,,,,,,,,,,,,,,,
235.82,68.45,,,,,,,,,,,,,,,,,,
235.43,65.93,,,,,,,,,,,,,,,,,,
229.01,56.25,,,,,,,,,,,,,,,,,,
228.47,42.23,,,,,,,,,,,,,,,,,,
227.6,40.56,,,,,,,,,,,,,,,,,,
219.51,28.23,,,,,,,,,,,,,,,,,,
214.94,14.11,,,,,,,,,,,,,,,,,,
220.68,2.26,,,,,,,,,,,,,,,,,,
221.2,-5.14,,,,,,,,,,,,,,,,,,
207.47,-9.31,,,,,,,,,,,,,,,,,,
206.27,-18.38,,,,,,,,,,,,,,,,,,
205.87,-26.8,,,,,,,,,,,,,,,,,,
193.36,-62.2,,,,,,,,,,,,,,,,,,
188.71,-68.2,,,,,,,,,,,,,,,,,,
188.85,-76.33,,,,,,,,,,,,,,,,,,
179.57,-84.25,,,,,,,,,,,,,,,,,,
185.69,-95.85,,,,,,,,,,,,,,,,,,
185.81,-105.7,,,,,,,,,,,,,,,,,,
178.75,-113.62,,,,,,,,,,,,,,,,,,
165.1,-118.8,,,,,,,,,,,,,,,,,,
155.49,-116.27,,,,,,,,,,,,,,,,,,
144.41,-105.56,,,,,,,,,,,,,,,,,,
115.85,-97.62,,,,,,,,,,,,,,,,,,
86.02,-128.74,,,,,,,,,,,,,,,,,,
61.31,-127.36,,,,,,,,,,,,,,,,,,
64.82,-119.57,,,,,,,,,,,,,,,,,,
58.86,-110.82,,,,,,,,,,,,,,,,,,
62.65,-99,,,,,,,,,,,,,,,,,,
37.4,-95.85,,,,,,,,,,,,,,,,,,
27.08,-102.21,,,,,,,,,,,,,,,,,,
18.64,-125.11,,,,,,,,,,,,,,,,,,
17.17,-126.13,,,,,,,,,,,,,,,,,,
17.9,-118.65,,,,,,,,,,,,,,,,,,
7.58,-111.21,,,,,,,,,,,,,,,,,,
2.62,-103.96,,,,,,,,,,,,,,,,,,
-8.14,-104.63,,,,,,,,,,,,,,,,,,
-11.47,-97.82,,,,,,,,,,,,,,,,,,
-26.72,-98.19,,,,,,,,,,,,,,,,,,
-34.3,-99.7,,,,,,,,,,,,,,,,,,
-72.71,-99.7,,,,,,,,,,,,,,,,,,
-79.52,-96.42,,,,,,,,,,,,,,,,,,
-85.77,-95.49,,,,,,,,,,,,,,,,,,
-89.16,-95.49,,,,,,,,,,,,,,,,,,
-97.36,-105.56,,,,,,,,,,,,,,,,,,
-93.79,-113.45,,,,,,,,,,,,,,,,,,
-90.7,-120.66,,,,,,,,,,,,,,,,,,
-88.78,-121.91,,,,,,,,,,,,,,,,,,
-86.92,-122.94,,,,,,,,,,,,,,,,,,
-87.28,-123.47,,,,,,,,,,,,,,,,,,
-88.05,-123.14,,,,,,,,,,,,,,,,,,
