,x,y,z,L,R,kx,ky,kz,dist,t
41,423.4196898,395.6810734,0,2.0681850500347845,167.15387504153017,-4.384607093298738e-05,-0.005982350944435902,0,2.0681850500347845,0
42,426.2906327,395.6353698,0,2.871306663195923,243.92789850655853,-8.937844135970251e-05,-0.0040985976452547245,0,2.871306663195923,0
43,430.4129336,395.5106015,0,4.124188627939494,652.7526418950755,-5.1183690081625294e-05,-0.0015311186141774042,0,4.124188627939494,0
44,435.6480039,395.3145648,0,5.238739489007748,1319.4425863940348,-2.9864377028339705e-05,-0.0007573071826421201,0,5.238739489007748,0
45,441.8572547,395.0550561,0,6.214671372057932,2255.952920416015,-1.911989460753959e-05,-0.0004428591150634807,0,6.214671372057932,0
46,448.9020974,394.7398717,0,7.051889808678714,3439.1772039817315,-1.3293646910957164e-05,-0.0002904631750779339,0,7.051889808678714,0
47,456.6439432,394.3768081,0,7.750354286651864,4807.69751346751,-9.911170656736473e-06,-0.00020776350739179231,0,7.750354286651864,0
48,464.9442035,393.9736616,0,8.310045014812987,6261.154450287653,-7.854139733093587e-06,-0.00015952172038509232,0,8.310045014812987,0
49,473.6642894,393.5382285,0,8.73095069783089,7664.106742575566,-6.581489916663947e-06,-0.0001303122547624229,0,8.73095069783089,0
50,482.6656124,393.0783054,0,9.013065239320245,8855.84613139652,-5.8195112232041405e-06,-0.0001127696988725848,0,9.013065239320245,0
51,491.8095836,392.6016884,0,9.156384279349497,9672.83934093744,-5.430218050881275e-06,-0.00010323954955543628,0,9.156384279349497,0
52,500.9576144,392.1161741,0,9.160905613161473,9974.736993458137,-5.3592449841464494e-06,-0.00010010992268057168,0,9.160905613161473,0
53,509.9711161,391.6295587,0,9.026627689420904,9681.705410167731,-5.616197197936948e-06,-0.0001031347864381716,0,9.026627689420904,0
54,518.7114998,391.1496387,0,8.753549590287623,8800.226797918478,-6.286468902996674e-06,-0.0001134594106414749,0,8.753549590287623,0
55,527.040177,390.6842104,0,8.341671739180404,7436.664305330679,-7.578065833531394e-06,-0.000134255187970929,0,8.341671739180404,0
56,534.8185588,390.2410702,0,7.790994587562475,5781.167485343553,-9.954950522525584e-06,-0.00017268874437020246,0,7.790994587562475,0
57,541.9080567,389.8280145,0,7.101520645988892,4067.962007278872,-1.4512367992229666e-05,-0.00024539458988083733,0,7.101520645988892,0
58,548.1700817,389.4528397,0,6.273253799359623,2522.2056067997833,-2.4203731730748864e-05,-0.0003957389131422844,0,6.273253799359623,0
59,553.4660454,389.123342,0,5.306203939354686,1311.4075024481485,-4.8890793523736955e-05,-0.0007609705347117607,0,5.306203939354686,0
