,x,y,z,L,R,kx,ky,kz,dist,t,delta_t,delta_vel,vel,ay,ax,time
621,913.7172465,-152.9830178,0.0,1.8243075358525986,877.1850003808271,0.0010844001593349583,-0.0003517100316293602,0.0,1.8243075358525986,0.0,0.026061536226465693,0.0,70.0,0.17347983946078924,0.0,26.09991213997609
622,913.2011776,-154.5793732,0.0,1.6777001140419234,842.8788544579317,0.0011292486573120963,-0.00036382198220804565,0.0,1.6777001140419234,0.0,0.02396714448631319,0.0,70.0,0.1805406699179132,0.0,26.123879284462404
623,912.7288127,-156.0501388,0.0,1.5447588966875816,849.3574540472537,0.0011212924515689084,-0.0003590003004760993,0.0,1.5447588966875816,0.0,0.022067984238394022,0.0,70.0,0.1791635692585705,0.0,26.145947268700798
624,912.295295,-157.4081,0.0,1.4254810475480553,923.256873033794,0.0010320726126513042,-0.00032860277846397936,0.0,1.4254810475480553,0.0,0.020364014964972216,0.0,70.0,0.1648229409258979,0.0,26.16631128366577
625,911.8957674,-158.6660423,0.0,1.3198640586405426,1149.719222510692,0.0008291227280387857,-0.0002628089342628973,0.0,1.3198640586405426,0.0,0.018855200837722037,0.0,70.0,0.1323574574244044,0.0,26.185166484503494
626,911.525373,-159.8367511,0.0,1.2279051697703722,1985.5698170057358,0.0004802212303868464,-0.00015177133395443665,0.0,1.2279051697703722,0.0,0.017541502425291032,0.0,70.0,0.0766399205609191,0.0,26.202707986928786
627,911.1792547,-160.9330119,0.0,1.149602374393648,25767.620340731257,-3.700742443172979e-05,1.1685122779322532e-05,0.0,1.149602374393648,0.0,0.0164228910627664,0.0,70.0,0.005905625394632763,0.0,26.219130877991553
628,910.8525556,-161.96761,0.0,1.0849541605360429,1317.5580312489192,-0.0007236591034057969,0.00022884037735562235,0.0,1.0849541605360429,0.0,0.015499345150514899,0.0,70.0,0.11549693405096693,0.0,26.23463022314207
629,910.5404187,-162.9533311,0.0,1.033961087917136,615.805155107829,-0.001547714731290839,0.0004915269287431169,0.0,1.033961087917136,0.0,0.014770872684530513,0.0,70.0,0.24711373683910168,0.0,26.2494010958266
630,910.237987,-163.9029604,0.0,0.996624673878492,390.6308329798,-0.002438255001112583,0.0007799466851069046,0.0,0.996624673878492,0.0,0.014237495341121315,0.0,70.0,0.38955940032349506,0.0,26.26363859116772
631,909.9404035,-164.8292835,0.0,0.9729493435250505,288.91494525337646,-0.003293568170381054,0.0010641879720073464,0.0,0.9729493435250505,0.0,0.01389927633607215,0.0,70.0,0.5267083463267114,0.0,26.277537867503792
632,909.6428113,-165.7450859,0.0,0.9629408877738099,237.43330725441385,-0.004002887130751103,0.0013097279959356908,0.0,0.9629408877738099,0.0,0.013756298396768714,0.0,70.0,0.6409122410126785,0.0,26.29129416590056
633,909.3403534,-166.6631529,0.0,0.966606330292419,212.0594343503803,-0.004475481873138782,0.0014857667014828004,0.0,0.966606330292419,0.0,0.013808661861320272,0.0,70.0,0.7176002968679301,0.0,26.30510282776188
634,909.0281727,-167.59627,0.0,0.9839534093466554,203.093604018839,-0.004665648119543375,0.0015735018370486946,0.0,0.9839534093466554,0.0,0.014056477276380791,0.0,70.0,0.7492796918871092,0.0,26.31915930503826
635,908.7014123,-168.5572227,0.0,1.0149888918827985,206.46003904677633,-0.004581843505782494,0.0015705760449296479,0.0,1.0149888918827985,0.0,0.014499841312611407,0.0,70.0,0.7370623087453799,0.0,26.333659146350872
636,908.3552153,-169.5587964,0.0,1.059717999913492,220.83695807138946,-0.00427621240751296,0.0014895812461745803,0.0,1.059717999913492,0.0,0.015156852261815257,0.261265042945368,70.0,0.683943934253844,0.7295345740932184,26.348815998612686
637,907.9847246,-170.6137767,0.0,1.118144352118521,246.56960660148664,-0.0038234891473537965,0.0013524891273924392,0.0,1.118144352118521,0.0,0.016080851318789495,0.41215179727084794,69.73873495705463,0.6053466984163887,0.7959619178807349,26.364896849931476
638,907.5850832,-171.7349488,0.0,1.1902689302894849,274.4707597981352,-0.0034292116233720026,0.0012307280644674467,0.0,1.1902689302894849,0.0,0.017227175079776207,0.46812730097678124,69.32658315978378,0.536491200062576,0.843905914338451,26.38212402501125
639,907.1520799,-172.9326903,0.0,1.273607694163742,146.2707659657994,-0.006419211607509062,0.0023523000653671083,0.0,1.273607694163742,0.0,0.018496024609893243,0.0,68.858455858807,1.0067025104703315,0.0,26.400620049621143
640,906.7010961,-174.1467205,0.0,1.2950890758455522,126.8709877571255,-0.007374586206705954,0.0027824017400678667,0.0,1.2950890758455522,0.0,0.018807988934592266,0.0,68.858455858807,1.1606368793161577,0.0,26.419428038555736
641,906.2407595,-175.3483293,0.0,1.2867686247095904,140.22284275305458,-0.006647758364956739,0.0025817982163331863,0.0,1.2867686247095904,0.0,0.01868715481143065,0.0,68.858455858807,1.0501223938635413,0.0,26.438115193367167
642,905.7714579,-176.5405443,0.0,1.2812574284614178,158.6698257347401,-0.005855035276342819,0.002332113053237391,0.0,1.2812574284614178,0.0,0.018638611993200722,0.232701098409709,68.858455858807,0.9217731454865261,0.3877296329401141,26.456753805360368
643,905.2935792,-177.726393,0.0,1.278516793478059,184.83412726858188,-0.005011091877722756,0.002039566457932085,0.0,1.278516793478059,0.0,0.01868123741632938,0.37441032387524065,68.6257547603973,0.7826802740527182,0.6224239621100411,26.4754350427767
644,904.8075113,-178.9089031,0.0,1.2785116894312667,223.59292847152332,-0.00413170813370467,0.0017121533636564462,0.0,1.2785116894312667,0.0,0.01879656657380875,0.46596276022810396,68.25134443652206,0.6382019924731938,0.7698689607999828,26.494231609350507
645,904.3136421,-180.0911023,0.0,1.2812110424083907,285.12475780365617,-0.0032331521640249403,0.0013592041766181215,0.0,1.2812110424083907,0.0,0.018975415789886377,0.5317152921751598,67.78538167629395,0.4926529972601371,0.8702258467148648,26.513207025140392
646,903.8123594,-181.2760181,0.0,1.2865884339636255,394.78078902431673,-0.0023312656763077506,0.0009907317256860374,0.0,1.2865884339636255,0.0,0.01921317449709528,0.5796016524725366,67.25366638411879,0.3497051131416989,0.9368598261439923,26.53242019963749
647,903.3040511,-182.4666781,0.0,1.2946229425778233,637.7979983756289,-0.0014413613647200616,0.000617066210720827,0.0,1.2946229425778233,0.0,0.019506976887093103,0.6137800998688824,66.67406473164625,0.21249164447312424,0.9771628835711615,26.551927176524583
648,902.7891052,-183.66611,0.0,1.3052992617267822,1590.0204405369388,-0.0005778115504633873,0.0002483497844843235,0.0,1.3052992617267822,0.0,0.019854954921168174,0.6370915211651156,66.06028463177738,0.08359973383088119,0.9964994152047485,26.57178213144575
649,902.2679094,-184.8773415,0.0,1.3186079055313857,3719.30609272997,0.0002469918818113337,-0.00010622930913941749,0.0,1.3186079055313857,0.0,0.02025596249197356,0.6518416713039772,65.42319311061226,0.035030644205203784,0.9993862386317757,26.592038093937724
650,901.7408517,-186.1034,0.0,1.3345445906943403,899.11757482825,0.0010221156274791018,-0.00043848834643979954,0.0,1.3345445906943403,0.0,0.020709458969724103,0.6600900932841495,64.77135143930828,0.14196990258947442,0.9898709748036535,26.612747552907447
651,901.2083199,-187.3473133,0.0,1.3531113834153319,529.013842498084,0.0017387089431593467,-0.0007417290528484782,0.0,1.3531113834153319,0.0,0.021215503547274403,0.6637890140848006,64.11126134602412,0.23632286451002543,0.971674587354108,26.63396305645472
652,900.6707019,-188.612109,0.0,1.3743148389879438,385.3610056374302,0.0023899825934163626,-0.0010108655466028417,0.0,1.3743148389879438,0.0,0.021774754243818528,0.6648321584217681,63.44747233193932,0.31765486535525833,0.9482064050174586,26.65573781069854
653,900.1283857,-189.9008147,0.0,1.3981663856619606,310.53323125837045,0.0029709610190220073,-0.0012423815419059152,0.0,1.3981663856619606,0.0,0.022388535714397653,0.6650721781886344,62.78264017351756,0.38589125254424445,0.9225442760159721,26.678126346412938
654,899.581759,-191.2164579,0.0,1.4246816412304226,265.7219980768464,0.0034791622601711976,-0.0014346061900491135,0.0,1.4246816412304226,0.0,0.023058909393978002,0.6662701012339123,62.11756799532892,0.4413455364619111,0.897337237299973,26.701185255806916
655,899.0312098,-192.5620664,0.0,1.4538798632943708,236.80386255858392,0.003913312256372449,-0.0015871062180019906,0.0,1.4538798632943708,0.0,0.02378875952173449,0.6700882910218774,61.451297894095006,0.48450027034749993,0.8747911110849261,26.72497401532865
656,898.4771259,-193.9406678,0.0,1.4857828873429717,217.37890769454117,0.004274246302504195,-0.001700950332390046,0.0,1.4857828873429717,0.0,0.024581871648994787,0.6779797656914249,60.78120960307313,0.5160863206022254,0.8565365781373596,26.749555886977646
657,897.9198952,-195.3552896,0.0,1.5204147098925664,204.1530678277908,0.004564108110229187,-0.001778234356204515,0.0,1.5204147098925664,0.0,0.025443009723317863,0.6911408169361728,60.103229837381704,0.5369549669184961,0.8436109076473329,26.774998896700964
658,897.3599056,-196.8089595,0.0,1.557801184450104,216.36101468117585,0.004318906631735056,-0.0016459188806360013,0.0,1.557801184450104,0.0,0.026384276152297347,0.7386049929102075,59.412089020445535,0.4941387058874464,0.8693830797432623,26.80138317285326
659,896.7958447,-198.3056623,0.0,1.599463650864488,133.74428965306097,-0.006980690359235233,0.002678584372389022,0.0,1.599463650864488,0.0,0.02738804504095404,0.546835115843409,58.67348402753533,0.784547877403949,0.6200682446803402,26.828771217894214
660,896.1833302,-199.8724123,0.0,1.682224591191753,106.06228359131586,-0.008753716954122104,0.003502511468872282,0.0,1.682224591191753,0.0,0.02898265408635705,0.1683743253924254,58.12664891169192,0.9835898782371196,0.18041882227053851,26.85775387198057
661,895.5101258,-201.5149427,0.0,1.7751366930756507,161.93886354610012,-0.005700950889381065,0.00237315877477193,0.0,1.7751366930756507,0.0,0.030833545337472335,0.7733391624086589,57.958274586299495,0.627128172700889,0.7789160769972873,26.888587417318043
662,894.7863546,-203.2259035,0.0,1.8577490705383213,271.6904609939705,-0.003384913075285997,0.0014455503311649799,0.0,1.8577490705383213,0.0,0.03276861068188391,0.9839791739930033,57.184935423890835,0.3610415190609901,0.9325497421125227,26.921356027999927
663,894.0221399,-204.9979444,0.0,1.9298064822590282,594.6800900332746,-0.001543021604065172,0.0006684186490754473,0.0,1.9298064822590282,0.0,0.03467774818273646,1.1025010103414974,56.20095624989783,0.1585402635336548,0.9873525129550638,26.956033776182664
664,893.2276047,-206.8237155,0.0,1.9911620460510302,331372.93714943103,-2.767082564502154e-06,1.204183017133423e-06,0.0,1.9911620460510302,0.0,0.036528144991819556,1.1762062250669434,55.09845523955633,0.00027249785400286063,0.9999999628724591,26.992561921174484
665,892.4128724,-208.6958666,0.0,2.041748873366797,677.2024983028508,0.001354890967517658,-0.0005872006783442491,0.0,2.041748873366797,0.0,0.03829907671060278,1.2231876096831749,53.92224901448939,0.12735949761476492,0.9918566218800552,27.03086099788509
666,891.588066,-210.6070476,0.0,2.081566336257834,351.1778299264788,0.002617807405293066,-0.0011205727521926491,0.0,2.081566336257834,0.0,0.039973725555033715,1.2513960607111583,52.699061404806216,0.2340714150781618,0.9722194056093032,27.07083472344012
667,890.7633089,-212.5499084,0.0,2.110671069157192,239.18904889683142,0.0038555672469906084,-0.001616673981662642,0.0,2.110671069157192,0.0,0.041535806872029,1.263932234314984,51.44766534409506,0.326985704462386,0.945029284772296,27.112370530312152
668,889.9487242,-214.5170989,0.0,2.129175121206409,180.57655177665728,0.0051289099527445006,-0.0020884697901011303,0.0,2.129175121206409,0.0,0.0429673876956365,1.2609002682568338,50.18373310978007,0.4116290017804621,0.9113515045761543,27.15533791800779
669,889.154435,-216.5012691,0.0,2.1372474624630216,143.3386736629007,0.006495953209669291,-0.0025443907843950646,0.0,2.1372474624630216,0.0,0.04424678084973334,1.2398823280342328,48.92283284152324,0.4926142699131232,0.8702477699356435,27.19958469885752
670,888.3905647,-218.4950688,0.0,2.1351194530850575,116.87730235530681,0.008017302226791779,-0.00298792219714308,0.0,2.1351194530850575,0.0,0.04534582453433074,1.1954024193901756,47.682950513489004,0.5742317883933064,0.8186927709456246,27.24493052339185
671,887.6672363,-220.4911479,0.0,2.1230957933412444,96.69503531370647,0.009761177741258707,-0.003416443054249718,0.0,2.1230957933412444,0.0,0.04622542308484899,1.1167355002186545,46.48754809409883,0.6611394423094594,0.7502630457531125,27.2911559464767
672,886.9945732,-222.4821564,0.0,2.1015685792221896,80.58333098499342,0.011807464275936043,-0.0038183547620424738,0.0,2.1015685792221896,0.0,0.046826082874759915,0.9810280930598597,45.370812593880174,0.7593901965295997,0.650635481214125,27.33798202935146
673,886.3826984,-224.4607441,0.0,2.071038400770567,67.33937308452637,0.014253035452549813,-0.004168696138843982,0.0,2.071038400770567,0.0,0.04703769304608782,0.7208966198403097,44.38978450082031,0.8794665442400218,0.4759607101038003,27.385019722397548
674,885.8417352,-226.419561,0.0,2.032142916105992,56.26190448640544,0.017215329782418673,-0.004421320078110523,0.0,2.032142916105992,0.0,0.04653525690062495,0.0,43.66888788098,1.052625684796147,0.0,27.431554979298173
675,885.3818067,-228.3512569,0.0,1.9856946580955466,46.915084076514404,0.02083530233345239,-0.004497102341500675,0.0,1.9856946580955466,0.0,0.04547161044054013,0.0,43.66888788098,1.2623386892230835,0.0,27.477026589738713
676,885.0130363,-230.2484817,0.0,1.9327321463801512,39.01441874336864,0.025274074430649194,-0.004265850978084692,0.0,1.9327321463801512,0.0,0.04425879018599769,0.0,43.66888788098,1.5179702183312462,0.0,27.521285379924713
677,884.745547,-232.1038855,0.0,1.8745862974717447,32.36231043842678,0.030698815502031664,-0.0035215799460876175,0.0,1.8745862974717447,0.0,0.042927273590775854,0.0,43.66888788098,1.8299906568975155,0.0,27.56421265351549
678,884.589462,-233.910118,0.0,1.8129639740715522,27.531225807925704,0.03627087111242203,-0.0019339422380039149,0.0,1.8129639740715522,0.0,0.04151614712545014,0.0,43.66888788098,5.087815098149174,0.0,27.60572880064094
679,884.5518822,-235.6606837,0.0,1.7509690206809674,65.11694612732784,0.015356491814344661,-0.00012314215774318103,0.0,1.7509690206809674,0.0,0.039853042654708896,0.5335085387923326,44.202396419772334,0.9094825427183809,0.4157421129624811,27.64558184329565
680,884.5606703,-237.3732257,0.0,1.712564548408513,252.31655861672473,0.003963131336735875,3.37875249203814e-05,0.0,1.712564548408513,0.0,0.038227066304684,1.194787455669917,45.39718387544225,0.240486114709934,0.9706525787488129,27.683808909600334
681,884.5806812,-239.0594215,0.0,1.6863145353274027,267.181741153571,0.003742348400812997,5.622431529320749e-05,0.0,1.6863145353274027,0.0,0.03668247544638123,1.1467847916852172,46.54396866712747,0.23954945039564904,0.9708841644682142,27.720491385046714
682,884.6108347,-240.7220064,0.0,1.6628583172568294,287.4988371791046,0.0034775060716119763,7.313046332939209e-05,0.0,1.6628583172568294,0.0,0.03530737083984935,1.1053304000878956,47.64929906721537,0.23401023832490178,0.972234132479992,27.755798755886563
683,884.6500502,-242.3637159,0.0,1.6421778033545773,315.32292409682833,0.0031702397099725066,8.398792307509022e-05,0.0,1.6421778033545773,0.0,0.03408131196135792,1.0696288408988368,48.7189279081142,0.2236153518980839,0.9746774719852184,27.78988006784792
684,884.6972476,-243.9872854,0.0,1.6242553727468514,354.11434512732694,0.002822558516773949,8.85313738119324e-05,0.0,1.6242553727468514,0.0,0.03298757812156348,1.0389324318364015,49.757860339950604,0.20815941253887502,0.9780949130690081,27.822867645969485
685,884.7513463,-245.5954503,0.0,1.6090745833968572,409.87723989120747,0.0024382098782351307,8.68130698402753e-05,0.0,1.6090745833968572,0.0,0.03201239574808156,1.0124994545313089,50.77035979448191,0.1875917431007362,0.9822470859821512,27.854880041717568
686,884.811266,-247.190946,0.0,1.5966204618401143,494.30215510876474,0.00202150367323605,7.918824460031163e-05,0.0,1.5966204618401143,0.0,0.031144354385178423,0.9896101198417657,51.759969914323676,0.16194670143049475,0.9867995064326807,27.886024396102748
687,884.8759263,-248.7765081,0.0,1.5868799977794479,633.2046894617064,0.0015778747031548075,6.632735667292227e-05,0.0,1.5868799977794479,0.0,0.03037396055051307,0.9695616402444185,52.7295315545681,0.13139778255272888,0.9913297245317654,27.91639835665326
688,884.9442468,-250.3548718,0.0,1.579841656685245,897.1787085073066,0.0011135195460230183,4.918169107613984e-05,0.0,1.579841656685245,0.0,0.029693272289970627,0.9516848378902705,53.68121639245837,0.09624385186653328,0.9953577854108003,27.946091628943233
689,885.0151472,-251.9287728,0.0,1.5754971356753065,1572.7874331426467,0.0006351552754160949,2.8930973066035526e-05,0.0,1.5754971356753065,0.0,0.029095645767557937,0.935361892801567,54.61657828525993,0.056900855270671555,0.9983798338655815,27.97518727471079
690,885.0875471,-253.5009463,0.0,1.573839654991044,6659.91483558487,0.00014999229360510252,6.9250305479200655e-06,0.0,1.573839654991044,0.0,0.028575469227113702,0.920041088800716,55.53661937406065,0.013909913494229795,0.9999032524732495,28.003762743937905
691,885.1603661,-255.0741278,0.0,1.5748659113407908,2985.504206968623,-0.0003345976199848818,-1.5399325358386445e-05,0.0,1.5748659113407908,0.0,0.028128006569104805,0.9052555309997368,56.44187490506039,0.03208376454407178,0.9994851835083303,28.03189075050701
692,885.2325238,-256.6510528,0.0,1.5785750502571123,1231.3441485964186,-0.0008112953782954677,-3.6602536583418614e-05,0.0,1.5785750502571123,0.0,0.027749216820267063,0.8906360027556459,57.33251090781604,0.08034660693623709,0.9967669851845183,28.05963996732728
693,885.3029398,-258.2344567,0.0,1.5849688714896697,784.7919493610486,-0.0012730214309725166,-5.5324909300151926e-05,0.0,1.5849688714896697,0.0,0.02743562279435015,0.8759216774432304,58.20843258525927,0.13007430489200061,0.9915042487084272,28.08707559012163
694,885.3705338,-259.8270748,0.0,1.5940518690693692,583.1731009847763,-0.0017133121699170098,-7.037082807076261e-05,0.0,1.5940518690693692,0.0,0.02718419797406521,0.8609644413874101,59.069397026646676,0.1804340321263011,0.9835870881882524,28.114259788095694
695,885.4342254,-261.4316428,0.0,1.6058315872265836,469.97536328495295,-0.002126237897495342,-8.076073363631034e-05,0.0,1.6058315872265836,0.0,0.02699227570218147,0.8457335904283061,59.91513061707498,0.23056538741418967,0.9730568339652852,28.141252063797875
696,885.4929342,-263.0508959,0.0,1.6203170446110222,398.6868454960882,-0.002506766772668622,-8.578688140807932e-05,0.0,1.6203170446110222,0.0,0.026857440258534652,0.8303102137283498,60.74544083080333,0.27963095289109524,0.9601075617790009,28.16810950405641
697,885.5455798,-264.6875696,0.0,1.6375201859736284,350.62822401346745,-0.0028507557240726946,-8.503475373754058e-05,0.0,1.6375201859736284,0.0,0.026777481659473933,0.8148830699524156,61.56032390075575,0.326832045901802,0.9450824375532763,28.194886985715883
698,885.5910819,-266.3443993,0.0,1.6574544023611937,326.90530041333443,-0.003058039980336635,-7.622636193196932e-05,0.0,1.6574544023611937,0.0,0.027334801668266243,0.8262897835286606,61.048463284631254,0.34453632543259227,0.9387729866466157,28.22222178738415
699,885.62863,-268.0239876,0.0,1.680007951561668,1122.0181406321017,-0.0008910432234592139,-1.9252344646662397e-05,0.0,1.680007951561668,0.0,0.028107032012584018,0.9007430521688731,60.222173501102596,0.09740191138521326,0.9952451294321952,28.250328819396735
700,885.6640839,-269.7245616,0.0,1.7009435347774682,27260.486549048375,3.667513764348343e-05,7.657551443352752e-07,0.0,1.7009435347774682,0.0,0.02890001668697758,0.930573517499421,59.321430448933725,0.00388418783019405,0.9999924565139978,28.279228836083714
701,885.7000218,-271.4431779,0.0,1.7189920067534115,28063.443225066163,-3.5625780826843374e-05,-7.438773482640723e-07,0.0,1.7189920067534115,0.0,0.029682329709482324,0.9557646480897063,58.39085693143431,0.0036505459494781114,0.9999933367349358,28.308911165793198
702,885.736189,-273.1778671,0.0,1.7350661909427119,9540.902106955047,-0.00010478931682547684,-2.1752602456528628e-06,0.0,1.7350661909427119,0.0,0.030469392447446886,0.9810616420804719,57.4350922833446,0.01037396068353479,0.9999461890220576,28.339380558240645
703,885.7723308,-274.9266602,0.0,1.7491665261817844,5825.615846032393,-0.00017161955560784199,-3.521035916786941e-06,0.0,1.7491665261817844,0.0,0.03126259949293034,1.0065204924006006,56.45403064126413,0.01638952562282395,0.9998656827043615,28.370643157733575
704,885.8081926,-276.6875879,0.0,1.7612928300899933,4218.9071036083,-0.00023698007464896276,-4.776680439144656e-06,0.0,1.7612928300899933,0.0,0.03206349175768908,1.032199155196847,55.44751014886353,0.021796481677565913,0.9997624284731246,28.402706649491265
705,885.8435196,-278.458681,0.0,1.7714453888835298,3316.679146183875,-0.0003014480373505176,-5.932281185042756e-06,0.0,1.7714453888835298,0.0,0.03287380395959632,1.0581602995571697,54.41531099366668,0.026657899603340564,0.999644615045136,28.43558045345086
706,885.8780572,-280.2379703,0.0,1.7796244713163785,2733.088039788051,-0.000365819875778275,-6.981747447424045e-06,0.0,1.7796244713163785,0.0,0.03369549068892986,1.0844717029639872,53.35715069410951,0.031048457093595088,0.9995178804364169,28.469275944139792
707,885.9115506,-282.0234867,0.0,1.785830513378173,2321.7095030351998,-0.0004306444220504159,-7.912512585522733e-06,0.0,1.785830513378173,0.0,0.03453077215447012,1.111209137345978,52.27267899114552,0.03501243177555525,0.9993868768505829,28.50380671629426
708,885.9437451,-283.8132609,0.0,1.7900637342887893,2013.5342504519601,-0.0004965627727875526,-8.711386975301023e-06,0.0,1.7900637342887893,0.0,0.03538217901126861,1.1384573319553914,51.16146985379954,0.03859444429165276,0.9992549568902916,28.53918889530553
709,885.9743861,-285.6053238,0.0,1.7923248334042228,1771.9256738522436,-0.0005642800888424901,-9.362688949309236e-06,0.0,1.7923248334042228,0.0,0.036252630412775405,1.166312703002047,50.023012521844144,0.04183568488802686,0.9991245044887798,28.575441525718304
710,886.0032189,-287.3977062,0.0,1.7926142915266605,1575.9499513331168,-0.0006344615359039136,-9.845203913478244e-06,0.0,1.7926142915266605,0.0,0.03714550143475601,1.1948861011103482,48.856699818842095,0.044765437883656486,0.998997525307788,28.61258702715306
711,886.0299887,-289.1884388,0.0,1.7909326807266213,1412.8527169730874,-0.000707715349305361,-1.0131045227210245e-05,0.0,1.7909326807266213,0.0,0.038064731291064725,1.2243066215518166,47.66181371773175,0.04740073021827369,0.9988759536472857,28.650651758444127
712,886.0544409,-290.9755525,0.0,1.787280975899594,1273.9149950088208,-0.0007849156048636494,-1.0188905619363156e-05,0.0,1.787280975899594,0.0,0.03901496034713564,1.2547249496047608,46.43750709617993,0.04976793454713546,0.9987608085477283,28.689666718791262
713,886.0763207,-292.7570781,0.0,1.7816599532748754,1153.6514802545978,-0.0008667555087525388,-9.975665932167024e-06,0.0,1.7816599532748754,0.0,0.04000168552223126,1.2863202555607947,45.182782146575164,0.05187146747407911,0.9986537692624434,28.729668404313493
714,886.0953735,-294.5310463,0.0,1.7740705126344691,1047.907782095201,-0.0009542357434458069,-9.440867448991121e-06,0.0,1.7740705126344691,0.0,0.041031485727381876,1.3193057209326071,43.89646189101437,0.05372474511278457,0.9985557829999114,28.770699890040873
715,886.1113446,-296.2954881,0.0,1.764514080879606,953.8598207142707,-0.0010483374587764763,-8.519463715906066e-06,0.0,1.764514080879606,0.0,0.04211232060127344,1.3539396375369834,42.577156170081764,0.0553277900951268,0.9984682446844214,28.812812210642146
