timestamp(ms),GPS.Lat,GPS.Lng,x,y,Accel X,Accel Y,Accel Z,Accel Magnitude
18030.761,301398893,-976294509,106,132,0.036224041,-0.42973876,-9.962181091,9.971511404
18130.761,301398893,-976294509,106,132,0.046950787,-0.457121611,-9.954512596,9.965113425
18230.761,301398890,-976294506,103,135,0.033307269,-0.438180178,-9.943640709,9.953346261
18330.761,301398890,-976294506,103,135,0.029860137,-0.45859158,-9.944198608,9.954812094
18430.761,301398885,-976294502,98,139,0.046787784,-0.459519833,-9.946960449,9.957678934
18530.761,301398885,-976294502,98,139,0.033974804,-0.439245135,-9.952003479,9.961750038
18630.761,301398882,-976294501,95,140,0.037292849,-0.441065997,-9.938821793,9.94867371
18730.761,301398882,-976294501,95,140,0.040251754,-0.462805778,-9.940052986,9.95090261
18830.761,301398877,-976294500,90,141,0.03908829,-0.443410248,-9.945940018,9.95589591
18930.761,301398877,-976294500,90,141,0.038386915,-0.447904795,-9.94964695,9.959797522
19030.761,301398873,-976294497,86,144,0.034108076,-0.434619039,-9.96143055,9.970965634
19130.761,301398873,-976294497,86,144,0.038809352,-0.437076151,-9.938435555,9.948117561
19230.761,301398870,-976294495,83,146,0.048509318,-0.448228657,-9.944972038,9.955186132
19330.761,301398870,-976294495,83,146,0.034026947,-0.442933917,-9.953734398,9.963642745
19430.761,301398868,-976294497,81,144,0.026509177,-0.455444783,-9.934124947,9.944595072
19530.761,301398868,-976294497,81,144,0.04048245,-0.359958082,-9.962751389,9.969334174
19630.761,301398868,-976294505,81,136,0.064128719,-0.518741369,-9.990364075,10.00402816
19730.761,301398868,-976294505,81,136,0.017399458,-0.428667367,-9.951425552,9.960669103
19830.761,301398867,-976294514,80,127,0.031253286,-0.403429836,-9.940824509,9.949056453
19930.761,301398867,-976294514,80,127,0.040022574,-0.463365406,-9.946129799,9.956997905
20030.761,301398868,-976294520,81,121,0.027375286,-0.434895545,-9.948545456,9.958084165
20130.761,301398868,-976294520,81,121,0.047386818,-0.448249221,-9.944511414,9.954721499
20230.761,301398867,-976294526,80,115,0.03990189,-0.431250155,-9.936387062,9.945821067
20330.761,301398867,-976294526,80,115,0.031440828,-0.456212044,-9.935194016,9.945712548
20430.761,301398866,-976294528,79,113,0.037120875,-0.451978803,-9.953126907,9.963453118
20530.761,301398866,-976294528,79,113,0.052517641,-0.429431319,-9.942960739,9.952368443
