x,y,z,curvature
23.1648,0,0,0.00E+00
23.4696,0,0,0.00E+00
23.7744,0,0,0.00E+00
24.0792,0,0,0.00E+00
24.384,0,0,0.00E+00
24.6888,0,0,0.00E+00
24.9936,0,0,0.00E+00
25.2984,0,0,0.00E+00
25.6032,0,0,0.00E+00
25.908,0,0,0.00E+00
26.2128,0,0,0.00E+00
26.5176,0,0,0.00E+00
26.8224,0,0,0.00E+00
27.1272,0,0,0.00E+00
27.432,0,0,0.00E+00
27.7368,0,0,0.00E+00
28.0416,0,0,0.00E+00
28.3464,0,0,0.00E+00
28.6512,0,0,0.00E+00
28.956,0,0,0.00E+00
29.2608,0,0,0.00E+00
29.5656,0,0,0.00E+00
29.8704,0,0,0.00E+00
30.1752,0,0,0.00E+00
30.48,0,0,0.00E+00
30.7848,0,0,0.00E+00
31.0896,0,0,0.00E+00
31.3944,0,0,0.00E+00
31.6992,0,0,0.00E+00
32.004,0,0,0.00E+00
32.3088,0,0,0.00E+00
32.6136,0,0,0.00E+00
32.9184,0,0,0.00E+00
33.2232,0,0,0.00E+00
33.528,0,0,0.00E+00
33.8328,0,0,0.00E+00
34.1376,0,0,0.00E+00
34.4424,0,0,0.00E+00
34.7472,0,0,0.00E+00
35.052,0,0,0.00E+00
35.3568,0,0,0.00E+00
35.6616,0,0,0.00E+00
35.9664,0,0,0.00E+00
36.2712,0,0,0.00E+00
36.576,0,0,0.00E+00
36.8808,0,0,0.00E+00
37.1856,0,0,0.00E+00
37.4904,0,0,0.00E+00
37.7952,0,0,0.00E+00
38.1,0,0,0.00E+00
38.4048,0,0,0.00E+00
38.7096,0,0,0.00E+00
39.0144,0,0,0.00E+00
39.3192,0,0,0.00E+00
39.624,0,0,0.00E+00
39.9288,0,0,0.00E+00
40.2336,0,0,0.00E+00
40.5384,0,0,0.00E+00
40.8432,0,0,0.00E+00
41.148,0,0,0.00E+00
41.4528,0,0,0.00E+00
41.7576,0,0,0.00E+00
42.0624,0,0,0.00E+00
42.3672,0,0,0.00E+00
42.672,0,0,0.00E+00
42.9768,0,0,0.00E+00
43.2816,0,0,0.00E+00
43.5864,0,0,0.00E+00
43.8912,0,0,0.00E+00
44.196,0,0,0.00E+00
44.5008,0,0,0.00E+00
44.8056,0,0,0.00E+00
45.1104,0,0,0.00E+00
45.4152,0,0,0.00E+00
45.72,0,0,0.00E+00
46.0248,0,0,0.00E+00
46.3296,0,0,0.00E+00
46.6344,0,0,0.00E+00
46.9392,0,0,0.00E+00
47.244,0,0,0.00E+00
47.5488,0,0,0.00E+00
47.8536,0,0,0.00E+00
48.1584,0,0,0.00E+00
48.4632,0,0,0.00E+00
48.768,0,0,0.00E+00
49.0728,0,0,0.00E+00
49.3776,0,0,0.00E+00
49.6824,0,0,0.00E+00
49.9872,0,0,0.00E+00
50.292,0,0,0.00E+00
50.5968,0,0,0.00E+00
50.9016,0,0,0.00E+00
51.2064,0,0,0.00E+00
51.5112,0,0,0.00E+00
51.816,0,0,0.00E+00
52.1208,0,0,0.00E+00
52.4256,0,0,0.00E+00
52.7304,0,0,0.00E+00
53.0352,0,0,0.00E+00
53.34,0,0,0.00E+00
53.6448,0,0,0.00E+00
53.9496,0,0,0.00E+00
54.2544,0,0,0.00E+00
54.5592,0,0,0.00E+00
54.864,0,0,0.00E+00
55.1688,0,0,0.00E+00
55.4736,0,0,0.00E+00
55.7784,0,0,0.00E+00
56.0832,0,0,0.00E+00
56.388,0,0,0.00E+00
56.6928,0,0,0.00E+00
56.9976,0,0,0.00E+00
57.3024,0,0,0.00E+00
57.6072,0,0,0.00E+00
57.912,0,0,0.00E+00
58.2168,0,0,0.00E+00
58.5216,0,0,0.00E+00
58.8264,0,0,0.00E+00
59.1312,0,0,0.00E+00
59.436,0,0,0.00E+00
59.7408,0,0,0.00E+00
60.0456,0,0,0.00E+00
60.3504,0,0,0.00E+00
60.6552,0,0,0.00E+00
60.96,0,0,0.00E+00
61.2648,0,0,0.00E+00
61.5696,0,0,0.00E+00
61.8744,0,0,0.00E+00
62.1792,0,0,0.00E+00
62.484,0,0,0.00E+00
62.7888,0,0,0.00E+00
63.0936,0,0,0.00E+00
63.3984,0,0,0.00E+00
63.7032,0,0,0.00E+00
64.008,0,0,0.00E+00
64.3128,0,0,0.00E+00
64.6176,0,0,0.00E+00
64.9224,0,0,0.00E+00
65.2272,0,0,0.00E+00
65.532,0,0,0.00E+00
65.8368,0,0,0.00E+00
66.1416,0,0,0.00E+00
66.4464,0,0,0.00E+00
66.7512,0,0,0.00E+00
67.056,0,0,0.00E+00
67.3608,0,0,0.00E+00
67.6656,0,0,0.00E+00
67.9704,0,0,0.00E+00
68.2752,0,0,0.00E+00
68.58,0,0,0.00E+00
68.8848,0,0,0.00E+00
69.1896,0,0,0.00E+00
69.4944,0,0,0.00E+00
69.7992,0,0,0.00E+00
70.104,0,0,0.00E+00
70.4088,0,0,0.00E+00
70.7136,0,0,0.00E+00
71.0184,0,0,0.00E+00
71.3232,0,0,0.00E+00
71.628,0,0,0.00E+00
71.9328,0,0,0.00E+00
72.2376,0,0,0.00E+00
72.5424,0,0,0.00E+00
72.8472,0,0,0.00E+00
73.152,0,0,0.00E+00
73.4568,0,0,0.00E+00
73.7616,0,0,0.00E+00
74.0664,0,0,0.00E+00
74.3712,0,0,0.00E+00
74.676,0,0,0.00E+00
74.9808,0,0,0.00E+00
75.2856,0,0,0.00E+00
